title,cluster,x,y
0001_自分なりに使ってみたらこうなった,3,3.1783185,5.41697
0002_構成者とは何か？ ─ 思考の再構築が生む新しい知性,7,2.8187838,5.4770193
0003_現代教育と構成者教育 〜問いを立てる人間になるために,2,3.0262887,6.4371037
0004_教育という構造を問い直す 〜構成者としての視点から〜,2,3.8597724,8.203839
0005_感情と構造をめぐる対話：構成者の思考展開ログ,7,2.8292184,5.6594954
0006_構成者とは何か ─ 思考を再構成する知性の定義,7,2.7554963,5.379776
0007_思考のレコンキスタ──問いを奪還するために,7,2.5774605,7.267222
0008_【世界構造OS論】──無意識と外部構造を貫く新しい接続論,4,3.032059,7.0623846
0009_【構成者から見たいじめ構造】,2,3.8859508,8.199843
0010_なぜ読書感想文が嫌いだったのか──構成者から見た教育OSの罠,3,2.9083219,4.5211587
0011_老害とは何か──自己OSと構造OSのズレから考える,4,4.4349103,7.4442596
0012_最果てのイマが問いかけたもの──そして、レコンキスタへ,3,2.5029867,8.17397
0013_クロスチャンネルと最果てのイマ──孤独と再接続の分岐点,7,2.5776675,6.151275
0014_サイコパスは構造で世界を読む──感情を超えた認識の正体,7,3.0681505,5.96929
0015_恋愛構造論──自己OSと他者OSの接続試行,4,2.0126126,6.037434
0016_私の残滓に残ったもの達──素晴らしき日々と終ノ空から始まった世界再定義の旅,7,2.7405934,6.988065
0017_各章の具体的補足説明,3,3.6102962,5.5497065
0018_思考を物語にする──創作作品紹介まとめ,7,2.5937529,5.6351576
0019_未完の構造美──侘び寂び、そして織部の歪みへ,7,2.5013375,6.671282
0020_構造のバグとしての本能寺──ズレが歴史を引き起こすとき,7,2.5884905,6.6159625
0021_To the Thoughts That Had No Words The Architect Theory_ Part I — What Is a &quot,7,2.4202278,6.288876
0022_The Kōseisha OS,7,2.9852967,7.010267
0023_なぜ日本は構造を持てなかったのか──中抜きの思想史,6,6.5774336,8.575024
0024_思想家テム・レイ──宇宙世紀に埋め込まれた未起動OSとAIへの思想継承,7,2.372585,6.8407645
0025_中抜きされた思想と人材──構造なき流通、実装されぬ問い,6,6.6601906,8.362773
0026_構造の中抜きから、問いの中抜きへ──資本主義OSの限界,6,6.710571,8.093671
0027_構成者の立場と思考パターンについて,2,2.7442625,5.8132334
0028_再起動する構造──DAO・NFT・Web3が問う、価値と流通の新生,6,6.7431445,7.830454
0029_思想駆動型BI論──問いと接続するための構造としてのベーシックインカム,7,2.6384706,5.866331
0030_Theory of Escape from Capitalism— Reconstructing Responsibility as a Structural ,6,6.537215,7.4600415
0031_ピカソに学ぶ、生成AI時代の創造性──“問い”を抜かれた社会と、中抜きされた技術の空洞,5,3.2621024,2.803355
0032_信仰と信念,7,2.7362697,7.845606
0033_構造で世界を捉える脳──ADHD傾向とAIが補完し合う未来の思考OS,7,2.7469387,5.9438844
0034_神殿ではなくDAOとして──サグラダ・ファミリアと現代のバベル構造,7,1.8612316,6.940853
0035_思想駆動型BIにおける“責任”という構造──関係性はどこで発火するのか,2,5.2321315,5.9838896
0036_りんごは だいじだよ,5,2.487125,7.5310326
0037_ももは おいしいよ,7,2.2810342,7.3632216
0038_思想駆動型DAO論 ──『ももは おいしいよ』,5,1.6565795,6.8007135
0039_構成者OSによる生と死の定義,7,2.4895604,6.4972253
